Statistic,Name,Team,#,Top 25,year,table_name,East,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll,Team | Roster,W,L,T
Triples,Yolmer Sanchez,Chicago White Sox,10,Top 25,2018,2018 American League Player Review,,,,,,,,,,,,
Mallex Smith,Tampa Bay Rays,10,,,2018,2018 American League Player Review,,,,,,,,,,,,
Statistic,Name,Team,#,Top 25,2018,2018 American League Player Review,,,,,,,,,,,,
2018 A.L. History | 2018 N.L. History | Year-by-Year History,,,,,2018,2018 American League Player Review,,,,,,,,,,,,
Complete Games,Jose Berrios,Minnesota Twins,2,Top 25,2018,2018 American League Pitcher Review,,,,,,,,,,,,
Carlos Carrasco,Cleveland Indians,2,,,2018,2018 American League Pitcher Review,,,,,,,,,,,,
Corey Kluber,Cleveland Indians,2,,,2018,2018 American League Pitcher Review,,,,,,,,,,,,
James Paxton,Seattle Mariners,2,,,2018,2018 American League Pitcher Review,,,,,,,,,,,,
ERA,Blake Snell,Tampa Bay Rays,1.89,Top 25,2018,2018 American League Pitcher Review,,,,,,,,,,,,
Games,Ryan Pressly,Minnesota Twins,77,Top 25,2018,2018 American League Pitcher Review,,,,,,,,,,,,
Houston Astros,,,,,2018,2018 American League Pitcher Review,,,,,,,,,,,,
Saves,Edwin Diaz,Seattle Mariners,57,Top 25,2018,2018 American League Pitcher Review,,,,,,,,,,,,
Shutouts,Jose Berrios,Minnesota Twins,1,Top 25,2018,2018 American League Pitcher Review,,,,,,,,,,,,
Mike Clevinger,Cleveland Indians,1,,,2018,2018 American League Pitcher Review,,,,,,,,,,,,
Gerrit Cole,Houston Astros,1,,,2018,2018 American League Pitcher Review,,,,,,,,,,,,
Andrew Heaney,Los Angeles Angels,1,,,2018,2018 American League Pitcher Review,,,,,,,,,,,,
Corey Kluber,Cleveland Indians,1,,,2018,2018 American League Pitcher Review,,,,,,,,,,,,
Sean Manaea,Oakland Athletics,1,,,2018,2018 American League Pitcher Review,,,,,,,,,,,,
Daniel Mengden,Oakland Athletics,1,,,2018,2018 American League Pitcher Review,,,,,,,,,,,,
James Paxton,Seattle Mariners,1,,,2018,2018 American League Pitcher Review,,,,,,,,,,,,
Luis Severino,New York Yankees,1,,,2018,2018 American League Pitcher Review,,,,,,,,,,,,
Masahiro Tanaka,New York Yankees,1,,,2018,2018 American League Pitcher Review,,,,,,,,,,,,
Justin Verlander,Houston Astros,1,,,2018,2018 American League Pitcher Review,,,,,,,,,,,,
Strikeouts,Justin Verlander,Houston Astros,290,Top 25,2018,2018 American League Pitcher Review,,,,,,,,,,,,
Winning Percentage,Charlie Morton,Houston Astros,.833,Top 25,2018,2018 American League Pitcher Review,,,,,,,,,,,,
Wins,Blake Snell,Tampa Bay Rays,21,Top 25,2018,2018 American League Pitcher Review,,,,,,,,,,,,
Statistic,Name,Team,#,Top 25,2018,2018 American League Pitcher Review,,,,,,,,,,,,
2018 A.L. History | 2018 N.L. History | Year-by-Year History,,,,,2018,2018 American League Pitcher Review,,,,,,,,,,,,
,,,,,2018,2018 American League Team Standings,Boston Red Sox,,54,0,.667,--,"$206,247,686",,108,,,
,,,,,2018,2018 American League Team Standings,New York Yankees,,62,0,.617,8.0,"$161,305,917",,100,,,
,,,,,2018,2018 American League Team Standings,Tampa Bay Rays,,72,0,.556,18.0,"$69,605,999",,90,,,
,,,,,2018,2018 American League Team Standings,Toronto Blue Jays,,89,0,.451,35.0,"$164,122,200",,73,,,
,,,,,2018,2018 American League Team Standings,Baltimore Orioles,,115,0,.290,61.0,"$148,160,873",,47,,,
,,,,,2018,2018 American League Team Standings,Central,,Wins,Losses,Ties,WP,GB,Payroll,Team | Roster,,,
,,,,,2018,2018 American League Team Standings,Cleveland Indians,,71,0,.562,--,"$136,652,167",,91,,,
,,,,,2018,2018 American League Team Standings,Minnesota Twins,,84,0,.481,13.0,"$129,560,000",,78,,,
,,,,,2018,2018 American League Team Standings,Detroit Tigers,,98,0,.395,27.0,"$111,286,000",,64,,,
,,,,,2018,2018 American League Team Standings,Chicago White Sox,,100,0,.383,29.0,"$86,050,333",,62,,,
,,,,,2018,2018 American League Team Standings,Kansas City Royals,,104,0,.358,33.0,"$115,483,116",,58,,,
,,,,,2018,2018 American League Team Standings,West,,Wins,Losses,Ties,WP,GB,Payroll,Team | Roster,,,
,,,,,2018,2018 American League Team Standings,Houston Astros,,59,0,.636,--,"$172,038,900",,103,,,
,,,,,2018,2018 American League Team Standings,Oakland Athletics,,65,0,.599,6.0,"$62,652,500",,97,,,
,,,,,2018,2018 American League Team Standings,Seattle Mariners,,73,0,.549,14.0,"$165,303,943",,89,,,
,,,,,2018,2018 American League Team Standings,Los Angeles Angels,,82,0,.494,23.0,"$171,248,332",,80,,,
,,,,,2018,2018 American League Team Standings,Texas Rangers,,95,0,.414,36.0,"$128,821,249",,67,,,
,,,,,2018,2018 American League Team Standings,A.L.,,Wins,Losses,Ties,WP,GB,Payroll,Team | Roster,,,
,,,,,2018,2018 American League Team Standings,2018 American League Final Standings,,,,,,,,,,,
Base on Balls,Alex Bregman,Houston Astros,119,Top 25,2019,2019 American League Player Review,,,,,,,,,,,,
Batting Average,Tim Anderson,Chicago White Sox,.335,Top 25,2019,2019 American League Player Review,,,,,,,,,,,,
Doubles,Rafael Devers,Boston Red Sox,54,Top 25,2019,2019 American League Player Review,,,,,,,,,,,,
Hits,Whit Merrifield,Kansas City Royals,206,Top 25,2019,2019 American League Player Review,,,,,,,,,,,,
Home Runs,Jorge Soler,Kansas City Royals,48,Top 25,2019,2019 American League Player Review,,,,,,,,,,,,
On Base Percentage,Mike Trout,Los Angeles Angels,.438,Top 25,2019,2019 American League Player Review,,,,,,,,,,,,
RBI,Jose Abreu,Chicago White Sox,123,Top 25,2019,2019 American League Player Review,,,,,,,,,,,,
Runs,Mookie Betts,Boston Red Sox,135,Top 25,2019,2019 American League Player Review,,,,,,,,,,,,
Slugging Average,Mike Trout,Los Angeles Angels,.645,Top 25,2019,2019 American League Player Review,,,,,,,,,,,,
Stolen Bases,Mallex Smith,Tampa Bay Rays,46,Top 25,2019,2019 American League Player Review,,,,,,,,,,,,
Total Bases,Rafael Devers,Boston Red Sox,359,Top 25,2019,2019 American League Player Review,,,,,,,,,,,,
Triples,Hunter Dozier,Kansas City Royals,10,Top 25,2019,2019 American League Player Review,,,,,,,,,,,,
Whit Merrifield,Kansas City Royals,10,,,2019,2019 American League Player Review,,,,,,,,,,,,
Adalberto Mondesi,Kansas City Royals,10,,,2019,2019 American League Player Review,,,,,,,,,,,,
Statistic,Name,Team,#,Top 25,2019,2019 American League Player Review,,,,,,,,,,,,
Complete Games,Shane Bieber,Cleveland Indians,3,Top 25,2019,2019 American League Pitcher Review,,,,,,,,,,,,
Lucas Giolito,Chicago White Sox,3,,,2019,2019 American League Pitcher Review,,,,,,,,,,,,
ERA,Gerrit Cole,Houston Astros,2.50,Top 25,2019,2019 American League Pitcher Review,,,,,,,,,,,,
Games,Yusmeiro Petit,Oakland Athletics,80,Top 25,2019,2019 American League Pitcher Review,,,,,,,,,,,,
Saves,Roberto Osuna,Houston Astros,38,Top 25,2019,2019 American League Pitcher Review,,,,,,,,,,,,
Shutouts,Shane Bieber,Cleveland Indians,2,Top 25,2019,2019 American League Pitcher Review,,,,,,,,,,,,
Lucas Giolito,Chicago White Sox,2,,,2019,2019 American League Pitcher Review,,,,,,,,,,,,
Strikeouts,Gerrit Cole,Houston Astros,326,Top 25,2019,2019 American League Pitcher Review,,,,,,,,,,,,
Winning Percentage,Gerrit Cole,Houston Astros,.800,Top 25,2019,2019 American League Pitcher Review,,,,,,,,,,,,
